example_id                                               | status | run_time        |
./spec/lib/fixtury_bot/validator_spec.rb[1:1:2:1]        | passed | 0.02566 seconds |
./spec/lib/fixtury_bot/validator_spec.rb[1:1:2:2]        | passed | 0.02433 seconds |
./spec/lib/fixtury_bot/validator_spec.rb[1:1:2:3]        | passed | 0.02078 seconds |
./spec/lib/fixtury_bot/validator_spec.rb[1:1:3:1]        | passed | 0.01527 seconds |
./spec/lib/fixtury_bot/validator_spec.rb[1:1:4:1]        | passed | 0.02043 seconds |
./spec/lib/fixtury_bot_spec.rb[1:1:1]                    | passed | 0.0087 seconds  |
./spec/lib/fixtury_bot_spec.rb[1:1:2]                    | passed | 0.00142 seconds |
./spec/lib/fixtury_bot_spec.rb[1:2:1]                    | passed | 0.00525 seconds |
./spec/lib/fixtury_bot_spec.rb[1:2:2]                    | passed | 0.0027 seconds  |
./spec/lib/fixtury_bot_spec.rb[1:3:1]                    | passed | 0.00204 seconds |
./spec/lib/fixtury_bot_spec.rb[1:4:1]                    | passed | 0.0014 seconds  |
./spec/lib/fixtury_bot_spec.rb[1:4:2]                    | passed | 0.00526 seconds |
